#,Name,Disclosure Date,Rank,Check,Description
"2","exploit/linux/ftp/proftp_telnet_iac","2010-11-01","great","Yes","ProFTPD 1.3.2rc3 - 1.3.3b Telnet IAC Buffer Overflow (Linux)"
"3","exploit/linux/http/asuswrt_lan_rce","2018-01-22","excellent","No","AsusWRT LAN Unauthenticated Remote Code Execution"
"4","exploit/linux/http/dlink_diagnostic_exec_noauth","2013-03-05","excellent","No","D-Link DIR-645 / DIR-815 diagnostic.php Command Execution"
"5","exploit/linux/http/dlink_dir300_exec_telnet","2013-04-22","excellent","No","D-Link Devices Unauthenticated Remote Command Execution"
"6","exploit/linux/http/huawei_hg532n_cmdinject","2017-04-15","excellent","Yes","Huawei HG532n Command Injection"
"7","exploit/linux/http/tp_link_sc2020n_authenticated_telnet_injection","2015-12-20","excellent","No","TP-Link SC2020n Authenticated Telnet Injection"
"8","exploit/linux/misc/asus_infosvr_auth_bypass_exec","2015-01-04","excellent","No","ASUS infosvr Auth Bypass Command Execution"
"9","exploit/linux/telnet/netgear_telnetenable","2009-10-30","excellent","Yes","NETGEAR TelnetEnable"
"10","exploit/linux/telnet/telnet_encrypt_keyid","2011-12-23","great","No","Linux BSD-derived Telnet Service Encryption Key ID Buffer Overflow"
