#,Name,Disclosure Date,Rank,Check,Description
"12","exploit/unix/ftp/proftpd_133c_backdoor","2010-12-02","excellent","No","ProFTPD-1.3.3c Backdoor Command Execution"
"13","exploit/unix/ftp/proftpd_modcopy_exec","2015-04-22","excellent","Yes","ProFTPD 1.3.5 Mod_Copy Command Execution"
