#,Name,Disclosure Date,Rank,Check,Description
"4","exploit/multi/mysql/mysql_udf_payload","2009-01-16","excellent","No","Oracle MySQL UDF Payload Execution"
"5","exploit/windows/mysql/mysql_mof","2012-12-01","excellent","Yes","Oracle MySQL for Microsoft Windows MOF Execution"
"6","exploit/windows/mysql/mysql_start_up","2012-12-01","excellent","Yes","Oracle MySQL for Microsoft Windows FILE Privilege Abuse"
"7","exploit/windows/mysql/scrutinizer_upload_exec","2012-07-27","excellent","Yes","Plixer Scrutinizer NetFlow and sFlow Analyzer 9 Default MySQL Credential"
